com.adobe.bridge4.1,_NSSavePanelUseLocalhostURLsDefaultValueFunction,-[NSSavePanel _selectedURLsWithAlwaysIncludingDirectories:wantRawURLs:]
com.adobe.dreamweaver-15.0,_NSWindowDisplayWithRunLoopObserverDefaultValueFunction,-[NSWindow _postWindowNeedsToResetDragMarginsUnlessPostingDisabled]
com.adobe.dreamweaver-15.1,_NSWindowDisplayWithRunLoopObserverDefaultValueFunction,-[NSWindow _postWindowNeedsToResetDragMarginsUnlessPostingDisabled]
com.adobe.dreamweaver-16.0,_NSWindowDisplayWithRunLoopObserverDefaultValueFunction,-[NSWindow _postWindowNeedsToResetDragMarginsUnlessPostingDisabled]
com.adobe.dreamweaver-16.1,_NSWindowDisplayWithRunLoopObserverDefaultValueFunction,-[NSWindow _postWindowNeedsToResetDragMarginsUnlessPostingDisabled]
com.adobe.estoolkit-3.0,_NSSavePanelUseLocalhostURLsDefaultValueFunction,-[NSSavePanel _selectedURLsWithAlwaysIncludingDirectories:wantRawURLs:]
com.adobe.estoolkit-3.5,_NSSavePanelUseLocalhostURLsDefaultValueFunction,-[NSSavePanel _selectedURLsWithAlwaysIncludingDirectories:wantRawURLs:]
com.adobe.estoolkit-3.6,_NSSavePanelUseLocalhostURLsDefaultValueFunction,-[NSSavePanel _selectedURLsWithAlwaysIncludingDirectories:wantRawURLs:]
com.adobe.flash,_parseTag,_parseXML
com.adobe.illustrator,_NSPersistentUISnapshotWindowsDefaultValueFunction,_persistentStateDirectoryURLForBundleID
com.adobe.illustrator,_NSSavePanelStretchAccessoryViewDefaultValueFunction,__NSSavePanelStretchAccessoryView
com.adobe.illustrator,_NSSavePanelUseLocalhostURLsDefaultValueFunction,-[NSSavePanel _selectedURLsWithAlwaysIncludingDirectories:wantRawURLs:]
com.adobe.illustrator,_NSViewMagicallyInitForIllustratorCS6DefaultValueFunction,-[NSView setNextResponder:]
com.adobe.photodownloader,_NSWindowAllowsDeepBackingStoresDefaultValueFunction,__NXDefaultWindowDepthLimit
com.adobe.pse11editor,_NSEventMouseDeviceIDDefaultValueFunction,-[NSEvent deviceID]
com.adobe.pse12editor,-[NSCell _shouldUseStyledTextInView:],
com.adobe.pse12editor,_NSEventMouseDeviceIDDefaultValueFunction,-[NSEvent deviceID]
com.adobe.pse9editor,_NSEventMouseDeviceIDDefaultValueFunction,-[NSEvent deviceID]
com.adobe.psexeditor,_NSEventMouseDeviceIDDefaultValueFunction,-[NSEvent deviceID]
com.agilebits.onepassword-osx,_NSWindowIgnoreSetFrameInWindowDragRegionDefaultValueFunction,-[NSWindow _shouldIgnoreSetFrameOrigin]
com.agilebits.onepassword-osx,_NSTabView_AllowNonTamicItemViewsDefaultValueFunction,-[NSTabView _resizeSelectedTabViewItem]
com.alsoft.DiskWarrior,_NSTableViewValidateHeightOfRowDefaultValueFunction,-[NSTableView _safeSendDelegateHeightOfRow:]
com.aol.aim.desktop,_NSImageTiffRepresentationOldRepOrderDefaultValueFunction,-[NSImage TIFFRepresentationUsingCompression:factor:]
com.app77.pwsafemac,_NSOrderOutSheetWhenEndedDefaultValueFunction,_NSWindowEndWindowModalSession
com.apple.AddressBook,_NSStackViewDefaultDetachesHiddenViewsDefaultValueFunction,-[NSStackView initWithFrame:]
com.apple.Aperture,-[NSSplitView resetCursorRects],
com.apple.Aperture,-[NSTableView _defaultValueForAllowsTypeSelect],
com.apple.Aperture,-[NSSplitView mouseDown:],
com.apple.Aperture,-[NSBrowser setPath:],
com.apple.CinemaTools,_NSTableViewUsesPreparedCellsOnKeyStateChangeDefaultValueFunction,-[NSTableView _dirtyVisibleCellsForKeyStateChange]
com.apple.Compressor,_NSWindowAllowsImplicitFullScreenDefaultValueFunction,-[NSWindow _implicitlyAllowsFullScreenPrimary]
com.apple.Console-Classic,_NSTableViewDelegateCanBeOpaqueDefaultValueFunction,-[NSTableView _delegateAndDatasourceIvarCanBeOpaque]
com.apple.FileMerge,_NSLeakWindowGraphicsContextOnCreationDefaultValueFunction,__NSCreateWindowWithOpaqueShape2
com.apple.FinalCut,_NSDocumentControllerShouldAddFilePresenterDefaultValueFunction,
com.apple.FinalCut,_NSWindowAllowsImplicitFullScreenDefaultValueFunction,-[NSWindow _implicitlyAllowsFullScreenPrimary]
